timestamp,bytes_sent,bytes_recv,packets_sent,packets_recv,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec
20:53:26,16038005,944410482,105657,1590439,0.0,198117.0,0.0,936.0
20:53:27,16045437,945492189,105711,1591561,7432.0,1081707.0,54.0,1122.0
20:53:28,16048949,945750477,105717,1592679,3512.0,258288.0,6.0,1118.0
20:53:29,16049004,945982578,105718,1593674,55.0,232101.0,1.0,995.0
20:53:30,16053172,946220562,105720,1594708,4168.0,237984.0,2.0,1034.0
20:53:31,16072934,947240154,105839,1595903,19762.0,1019592.0,119.0,1195.0
20:53:32,16072934,947448049,105839,1596811,0.0,207895.0,0.0,908.0
20:53:33,16073072,947653774,105840,1597758,138.0,205725.0,1.0,947.0
20:53:34,16073127,947857650,105841,1598686,55.0,203876.0,1.0,928.0
20:53:35,16083541,949138468,105946,1599898,10414.0,1280818.0,105.0,1212.0
20:53:36,16083541,949391382,105946,1600935,0.0,252914.0,0.0,1037.0
20:53:37,16083541,949675110,105946,1602043,0.0,283728.0,0.0,1108.0
20:53:38,16083596,949910587,105947,1603016,55.0,235477.0,1.0,973.0
20:53:39,16083596,950008792,105947,1603415,0.0,98205.0,0.0,399.0
20:53:40,16084629,950280864,105953,1604511,1033.0,272072.0,6.0,1096.0
20:53:41,16087896,950555465,105959,1605565,3267.0,274601.0,6.0,1054.0
20:53:42,16092766,951128006,105974,1606628,4870.0,572541.0,15.0,1063.0
20:53:43,16096118,952044825,106027,1607872,3352.0,916819.0,53.0,1244.0
20:53:44,16096118,952310153,106027,1609009,0.0,265328.0,0.0,1137.0
20:53:45,16096118,952523661,106027,1609978,0.0,213508.0,0.0,969.0
20:53:46,16100463,952721992,106031,1610845,4345.0,198331.0,4.0,867.0
20:53:47,16101435,953478079,106049,1611933,972.0,756087.0,18.0,1088.0
20:53:48,16101749,953719348,106053,1613013,314.0,241269.0,4.0,1080.0
20:53:49,16101859,953976205,106055,1614196,110.0,256857.0,2.0,1183.0
20:53:50,16101859,954223081,106055,1615362,0.0,246876.0,0.0,1166.0
20:53:51,16101859,954467514,106055,1616493,0.0,244433.0,0.0,1131.0
20:53:52,16101967,954665368,106057,1617385,108.0,197854.0,2.0,892.0
20:53:53,16103907,954878581,106062,1618411,1940.0,213213.0,5.0,1026.0
20:53:54,16111693,956394297,106131,1619625,7786.0,1515716.0,69.0,1214.0
20:53:55,16111693,956605906,106131,1620636,0.0,211609.0,0.0,1011.0
20:53:56,16111693,956835559,106131,1621672,0.0,229653.0,0.0,1036.0
20:53:57,16111693,957067458,106131,1622710,0.0,231899.0,0.0,1038.0
20:53:58,16114672,957306442,106134,1623817,2979.0,238984.0,3.0,1107.0
20:53:59,16114672,957530339,106134,1624792,0.0,223897.0,0.0,975.0
20:54:00,16114672,957743255,106134,1625781,0.0,212916.0,0.0,989.0
20:54:01,16114672,957935064,106134,1626719,0.0,191809.0,0.0,938.0
20:54:02,16114672,958156644,106134,1627786,0.0,221580.0,0.0,1067.0
20:54:03,16127544,960139677,106222,1629056,12872.0,1983033.0,88.0,1270.0
20:54:04,16127544,960378359,106222,1630202,0.0,238682.0,0.0,1146.0
20:54:05,16127544,960622294,106222,1631357,0.0,243935.0,0.0,1155.0
20:54:06,16127544,960871602,106222,1632469,0.0,249308.0,0.0,1112.0
20:54:07,16133993,961103808,106234,1633512,6449.0,232206.0,12.0,1043.0
20:54:08,16134141,961332151,106236,1634551,148.0,228343.0,2.0,1039.0
20:54:09,16134141,961624197,106236,1635456,0.0,292046.0,0.0,905.0
20:54:10,16134293,962103509,106238,1636865,152.0,479312.0,2.0,1409.0
20:54:11,16138659,962492714,106257,1638253,4366.0,389205.0,19.0,1388.0
20:54:12,16147694,964185361,106345,1639787,9035.0,1692647.0,88.0,1534.0
20:54:13,16158347,965976413,106515,1641312,10653.0,1791052.0,170.0,1525.0
20:54:14,16158617,966355679,106520,1642482,270.0,379266.0,5.0,1170.0
20:54:16,16158617,966727899,106520,1643927,0.0,372220.0,0.0,1445.0
20:54:17,16158617,966973442,106520,1645084,0.0,245543.0,0.0,1157.0
20:54:18,16158617,967318560,106520,1646273,0.0,345118.0,0.0,1189.0
20:54:19,16158617,967591947,106520,1647572,0.0,273387.0,0.0,1299.0
20:54:20,16172314,969158716,106643,1648851,13697.0,1566769.0,123.0,1279.0
20:54:21,16172422,969341827,106645,1649691,108.0,183111.0,2.0,840.0
20:54:22,16172422,969562563,106645,1650705,0.0,220736.0,0.0,1014.0
20:54:23,16172422,969797588,106645,1651796,0.0,235025.0,0.0,1091.0
20:54:24,16174471,970041360,106652,1652940,2049.0,243772.0,7.0,1144.0
20:54:25,16174471,970290394,106652,1654098,0.0,249034.0,0.0,1158.0
20:54:26,16181028,970540731,106665,1655257,6557.0,250337.0,13.0,1159.0
20:54:27,16181028,970796447,106665,1656375,0.0,255716.0,0.0,1118.0
20:54:28,16185278,971039639,106668,1657456,4250.0,243192.0,3.0,1081.0
20:54:29,16190462,972603905,106764,1658802,5184.0,1564266.0,96.0,1346.0
20:54:30,16190462,972783077,106764,1659688,0.0,179172.0,0.0,886.0
20:54:31,16190570,973045215,106766,1660830,108.0,262138.0,2.0,1142.0
20:54:32,16201066,973765818,106810,1662000,10496.0,720603.0,44.0,1170.0
20:54:33,16201066,974001742,106810,1663061,0.0,235924.0,0.0,1061.0
20:54:34,16203907,974322779,106821,1664353,2841.0,321037.0,11.0,1292.0
20:54:35,16216942,975609595,106912,1665624,13035.0,1286816.0,91.0,1271.0
20:54:36,16216942,975844860,106912,1666643,0.0,235265.0,0.0,1019.0
20:54:37,16216942,976100085,106912,1667795,0.0,255225.0,0.0,1152.0
20:54:38,16220014,976373899,106916,1669007,3072.0,273814.0,4.0,1212.0
20:54:39,16220014,976629425,106916,1670181,0.0,255526.0,0.0,1174.0
20:54:40,16220014,976843797,106916,1671128,0.0,214372.0,0.0,947.0
20:54:41,16220014,977035221,106916,1671977,0.0,191424.0,0.0,849.0
20:54:42,16232184,978382073,106991,1673219,12170.0,1346852.0,75.0,1242.0
20:54:43,16232184,978619852,106991,1674319,0.0,237779.0,0.0,1100.0
20:54:44,16232239,978856758,106992,1675454,55.0,236906.0,1.0,1135.0
20:54:45,16232239,979066835,106992,1676435,0.0,210077.0,0.0,981.0
20:54:46,16232239,979295900,106992,1677501,0.0,229065.0,0.0,1066.0
20:54:47,16232239,979517676,106992,1678552,0.0,221776.0,0.0,1051.0
20:54:48,16242316,980872133,107076,1679900,10077.0,1354457.0,84.0,1348.0
20:54:49,16242316,981063686,107076,1680780,0.0,191553.0,0.0,880.0
20:54:50,16247360,981627147,107094,1681818,5044.0,563461.0,18.0,1038.0
